,Testing Accuracy:,Adversarial Robustness FGSM 0.1: ,Adversarial Robustness PGD 0.1: ,Adversarial Robustness FGSM 0.5: ,Adversarial Robustness PGD 0.5: ,description,epochs,adversarialTraining,advProp,als,eps,alpha
SAT_LabelSmoothing_0dot1_2on255,91.73,74.87,78.03999999999999,59.230000000000004,33.18,ALS + SAT,100,True,False,True,0.1,0.00784313725490196
AdvProp_SAT_0dot1_2on255,93.15,58.589999999999996,52.739999999999995,49.9,19.48,SAT + AdvProp,100,True,True,False,0.1,0.00784313725490196
AdvProp_LS_0dot1_2on255,93.14,59.14,56.230000000000004,49.16,19.900000000000002,ALS + AdvProp,100,True,True,True,0.1,0.00784313725490196
AdvProp_LS_SAT_0dot1_2on255,92.38,56.96,49.79,47.46,18.32,ALS + SAT + AdvProp,100,True,True,True,0.1,0.00784313725490196
SATAdvProp0dot5,92.97999999999999,58.24,53.12,48.84,18.490000000000002,SAT + AdvProp,100,True,True,False,0.5,0.00784313725490196
SAT_LabelSmoothing_0dot1,91.77,77.60000000000001,76.06,69.41000000000001,34.25,ALS + SAT,100,True,False,True,0.1,0.1
AdvProp_SAT_0dot1,91.13,51.21,43.97,45.11,14.71,SAT + AdvProp,100,True,True,False,0.1,0.1
AdvProp_LS_0dot1,91.9,55.00000000000001,49.120000000000005,48.480000000000004,17.330000000000002,ALS + AdvProp,100,True,True,True,0.1,0.1
AdvProp_LS_SAT_0dot1,91.95,51.629999999999995,43.93,46.129999999999995,16.88,ALS + SAT + AdvProp,100,True,True,True,0.1,0.1
SAT_0dot5_eps_0dot5_alpha,90.79,61.61,41.449999999999996,60.27,85.21,SAT,100,True,False,False,0.5,0.5
AdvProp_0dot5_eps_0dot5_alpha,91.52,54.459999999999994,49.2,45.47,10.35,AdvProp,100,True,True,False,0.5,0.5
AdverserialTraining_0dot5_eps_0dot5_alpha,90.97,65.81,45.39,64.53999999999999,81.19,Adversarial Training,100,True,False,False,0.5,0.5
TraditionalTraining,91.86999999999999,47.18,40.849999999999994,42.51,11.28,Traditional Training,100,False,False,False,0.0,0.0
AdvProp,93.16,59.46,56.04,50.91,18.07,AdvProp,100,True,True,False,0.1,0.00784313725490196
AdversarialTraining,92.11,75.92,79.84,60.6,28.4,Adversarial Training,100,True,False,False,0.1,0.00784313725490196
AdversarialLabelSmoothing-0dot05,90.61,48.51,41.65,41.44,14.49,ALS,100,False,False,True,0.0,0.0
AdversarialLabelSmoothingWithAdversarialTraining,91.67999999999999,75.1,79.05,60.25,32.190000000000005,ALS + ADVER,100,True,False,True,0.1,0.00784313725490196
SmoothAdversarialTraining,91.55,75.53,78.23,60.629999999999995,32.07,SAT,100,True,False,False,0.1,0.00784313725490196
